,resale_price,floor_area_sqm,Remaining_lease,Dist_nearest_station,Dist_nearest_primary_school,Dist_nearest_GHawker,Dist_CBD,flat_type_category,storey_category
0,395000.0,84.0,67,1.008453,0.4471147,0.4821851,6.717383,flat_type_4.ROOM,storey_range_01.TO.03
1,675000.0,146.0,66,1.176052,0.1886515,1.930232,15.69933,flat_type_EXECUTIVE,storey_range_10.TO.12
2,413000.0,101.0,77,0.4603622,0.2203923,3.662314,12.82404,flat_type_4.ROOM,storey_range_13.TO.15
3,350000.0,64.0,65,0.6829394,0.2604242,0.6762883,6.830667,flat_type_3.ROOM,storey_range_01.TO.03
4,728000.0,123.0,76,0.6734469,0.1278965,0.9723895,7.998324,flat_type_5.ROOM,storey_range_07.TO.09
5,310000.0,68.0,58,0.7615836,0.6179719,0.2213257,9.930967,flat_type_3.ROOM,storey_range_01.TO.03
6,435000.0,80.0,48,0.5383842,0.2797083,0.4490727,3.386254,flat_type_4.ROOM,storey_range_10.TO.12
7,750888.0,108.0,86,0.8234215,0.3907696,1.420685,12.61525,flat_type_5.ROOM,storey_range_10.TO.12
8,452000.0,90.0,82,0.8398338,0.3821219,3.006626,14.29638,flat_type_4.ROOM,storey_range_10.TO.12
9,650000.0,148.0,73,0.5501901,0.3439913,1.784521,14.16844,flat_type_EXECUTIVE,storey_range_07.TO.09
10,672000.0,122.0,76,0.4300861,0.3200462,0.237534,4.662802,flat_type_5.ROOM,storey_range_01.TO.03
11,718888.0,135.0,62,0.8309009,0.8267931,0.4579518,4.799208,flat_type_5.ROOM,storey_range_13.TO.15
12,725000.0,90.0,86,0.2254886,0.1195093,0.1989764,6.06558,flat_type_4.ROOM,storey_range_10.TO.12
13,500000.0,111.0,82,0.47607,0.1534414,2.745588,11.88101,flat_type_5.ROOM,storey_range_16.TO.18
14,322000.0,73.0,55,0.2710539,0.4747434,0.4473355,9.359225,flat_type_3.ROOM,storey_range_10.TO.12
15,510000.0,110.0,82,0.3928146,0.2271541,5.311796,15.13683,flat_type_5.ROOM,storey_range_10.TO.12
16,415000.0,93.0,94,1.1946,0.4613154,2.22702,14.92202,flat_type_4.ROOM,storey_range_01.TO.03
17,433000.0,105.0,62,0.4198665,0.112463,0.2413745,16.25347,flat_type_4.ROOM,storey_range_13.TO.15
18,720000.0,137.0,74,0.4586188,0.6105211,0.2350503,6.366685,flat_type_5.ROOM,storey_range_13.TO.15
19,232000.0,60.0,45,0.3053513,0.4918446,0.2965961,6.090981,flat_type_3.ROOM,storey_range_07.TO.09
20,406000.0,90.0,82,0.8087639,0.5011257,2.667893,18.33678,flat_type_4.ROOM,storey_range_16.TO.18
